Test,A_hex,B_hex,A_real,B_real,Exact_Result,Approx_Result,Error,Absolute_Error,Percentage_Error,Status
1,3c000000,3b000000,n/a,n/a,n/a,37880000,n/a,n/a,n/a,PASS
2,3c800000,3b800001,n/a,n/a,n/a,38880001,n/a,n/a,n/a,PASS
3,3d000000,3c000002,n/a,n/a,n/a,39880002,n/a,n/a,n/a,PASS
4,3d800000,3c800003,n/a,n/a,n/a,3a880003,n/a,n/a,n/a,PASS
5,3e000000,3d000004,n/a,n/a,n/a,3b880004,n/a,n/a,n/a,PASS
6,3e800000,3d800005,n/a,n/a,n/a,3c880005,n/a,n/a,n/a,PASS
7,3f000000,3e000006,n/a,n/a,n/a,3d880006,n/a,n/a,n/a,PASS
8,3f800000,3e800007,n/a,n/a,n/a,3e880007,n/a,n/a,n/a,PASS
9,40000000,3f000008,n/a,n/a,n/a,3f880008,n/a,n/a,n/a,PASS
10,40800000,3f800009,n/a,n/a,n/a,40880009,n/a,n/a,n/a,PASS
11,41000000,4000000a,n/a,n/a,n/a,4188000a,n/a,n/a,n/a,PASS
12,41800000,4080000b,n/a,n/a,n/a,4288000b,n/a,n/a,n/a,PASS
13,42000000,4100000c,n/a,n/a,n/a,4388000c,n/a,n/a,n/a,PASS
14,42800000,4180000d,n/a,n/a,n/a,4488000d,n/a,n/a,n/a,PASS
15,43000000,4200000e,n/a,n/a,n/a,4588000e,n/a,n/a,n/a,PASS
16,43800000,4280000f,n/a,n/a,n/a,4688000f,n/a,n/a,n/a,PASS
17,44000000,43000010,n/a,n/a,n/a,47880010,n/a,n/a,n/a,PASS
18,44800000,43800011,n/a,n/a,n/a,48880011,n/a,n/a,n/a,PASS
19,45000000,44000012,n/a,n/a,n/a,49880012,n/a,n/a,n/a,PASS
20,45800000,44800013,n/a,n/a,n/a,4a880013,n/a,n/a,n/a,PASS
21,46000000,45000014,n/a,n/a,n/a,4b880014,n/a,n/a,n/a,PASS
22,46800000,45800015,n/a,n/a,n/a,4c880015,n/a,n/a,n/a,PASS
23,47000000,46000016,n/a,n/a,n/a,4d880016,n/a,n/a,n/a,PASS
24,47800000,46800017,n/a,n/a,n/a,4e880017,n/a,n/a,n/a,PASS
25,48000000,47000018,n/a,n/a,n/a,4f880018,n/a,n/a,n/a,PASS
26,48800000,47800019,n/a,n/a,n/a,50880019,n/a,n/a,n/a,PASS
27,49000000,4800001a,n/a,n/a,n/a,5188001a,n/a,n/a,n/a,PASS
28,49800000,4880001b,n/a,n/a,n/a,5288001b,n/a,n/a,n/a,PASS
29,4a000000,4900001c,n/a,n/a,n/a,5388001c,n/a,n/a,n/a,PASS
30,4a800000,4980001d,n/a,n/a,n/a,5488001d,n/a,n/a,n/a,PASS
31,4b000000,4a00001e,n/a,n/a,n/a,5588001e,n/a,n/a,n/a,PASS
32,4b800000,4a80001f,n/a,n/a,n/a,5688001f,n/a,n/a,n/a,PASS
33,4c000000,4b000020,n/a,n/a,n/a,57880020,n/a,n/a,n/a,PASS
34,4c800000,4b800021,n/a,n/a,n/a,58880021,n/a,n/a,n/a,PASS
35,4d000000,4c000022,n/a,n/a,n/a,59880022,n/a,n/a,n/a,PASS
36,4d800000,4c800023,n/a,n/a,n/a,5a880023,n/a,n/a,n/a,PASS
37,4e000000,4d000024,n/a,n/a,n/a,5b880024,n/a,n/a,n/a,PASS
38,4e800000,4d800025,n/a,n/a,n/a,5c880025,n/a,n/a,n/a,PASS
39,4f000000,4e000026,n/a,n/a,n/a,5d880026,n/a,n/a,n/a,PASS
40,4f800000,4e800027,n/a,n/a,n/a,5e880027,n/a,n/a,n/a,PASS
41,50000000,4f000028,n/a,n/a,n/a,5f880028,n/a,n/a,n/a,PASS
42,50800000,4f800029,n/a,n/a,n/a,60880029,n/a,n/a,n/a,PASS
43,51000000,5000002a,n/a,n/a,n/a,6188002a,n/a,n/a,n/a,PASS
44,51800000,5080002b,n/a,n/a,n/a,6288002b,n/a,n/a,n/a,PASS
45,52000000,5100002c,n/a,n/a,n/a,6388002c,n/a,n/a,n/a,PASS
46,52800000,5180002d,n/a,n/a,n/a,6488002d,n/a,n/a,n/a,PASS
47,53000000,5200002e,n/a,n/a,n/a,6588002e,n/a,n/a,n/a,PASS
48,53800000,5280002f,n/a,n/a,n/a,6688002f,n/a,n/a,n/a,PASS
49,54000000,53000030,n/a,n/a,n/a,67880030,n/a,n/a,n/a,PASS
50,54800000,53800031,n/a,n/a,n/a,68880031,n/a,n/a,n/a,PASS
51,55000000,54000032,n/a,n/a,n/a,69880032,n/a,n/a,n/a,PASS
52,55800000,54800033,n/a,n/a,n/a,6a880033,n/a,n/a,n/a,PASS
53,56000000,55000034,n/a,n/a,n/a,6b880034,n/a,n/a,n/a,PASS
54,56800000,55800035,n/a,n/a,n/a,6c880035,n/a,n/a,n/a,PASS
55,57000000,56000036,n/a,n/a,n/a,6d880036,n/a,n/a,n/a,PASS
56,57800000,56800037,n/a,n/a,n/a,6e880037,n/a,n/a,n/a,PASS
57,58000000,57000038,n/a,n/a,n/a,6f880038,n/a,n/a,n/a,PASS
58,58800000,57800039,n/a,n/a,n/a,70880039,n/a,n/a,n/a,PASS
59,59000000,5800003a,n/a,n/a,n/a,7188003a,n/a,n/a,n/a,PASS
60,59800000,5880003b,n/a,n/a,n/a,7288003b,n/a,n/a,n/a,PASS
61,5a000000,5900003c,n/a,n/a,n/a,7388003c,n/a,n/a,n/a,PASS
62,5a800000,5980003d,n/a,n/a,n/a,7488003d,n/a,n/a,n/a,PASS
63,5b000000,5a00003e,n/a,n/a,n/a,7588003e,n/a,n/a,n/a,PASS
64,5b800000,5a80003f,n/a,n/a,n/a,7688003f,n/a,n/a,n/a,PASS
65,3f800000,3f900000,n/a,n/a,n/a,3f980000,n/a,n/a,n/a,PASS
66,3f900000,3fb00000,n/a,n/a,n/a,3fc80000,n/a,n/a,n/a,PASS
67,3fa00000,3fd00000,n/a,n/a,n/a,3ff80000,n/a,n/a,n/a,PASS
68,3fb00000,3ff00000,n/a,n/a,n/a,40540000,n/a,n/a,n/a,PASS
69,3fc00000,40100000,n/a,n/a,n/a,40580000,n/a,n/a,n/a,PASS
70,3fd00000,40300000,n/a,n/a,n/a,40c40000,n/a,n/a,n/a,PASS
71,3fe00000,40500000,n/a,n/a,n/a,40dc0000,n/a,n/a,n/a,PASS
72,3ff00000,40700000,n/a,n/a,n/a,40f40000,n/a,n/a,n/a,PASS
73,40000000,40900000,n/a,n/a,n/a,41180000,n/a,n/a,n/a,PASS
74,40100000,40b00000,n/a,n/a,n/a,41480000,n/a,n/a,n/a,PASS
75,40200000,40d00000,n/a,n/a,n/a,41780000,n/a,n/a,n/a,PASS
76,40300000,40f00000,n/a,n/a,n/a,41d40000,n/a,n/a,n/a,PASS
77,40400000,41100000,n/a,n/a,n/a,41d80000,n/a,n/a,n/a,PASS
78,40500000,41300000,n/a,n/a,n/a,42440000,n/a,n/a,n/a,PASS
79,40600000,41500000,n/a,n/a,n/a,425c0000,n/a,n/a,n/a,PASS
80,40700000,41700000,n/a,n/a,n/a,42740000,n/a,n/a,n/a,PASS
81,40800000,41900000,n/a,n/a,n/a,42980000,n/a,n/a,n/a,PASS
82,40900000,41b00000,n/a,n/a,n/a,42c80000,n/a,n/a,n/a,PASS
83,40a00000,41d00000,n/a,n/a,n/a,42f80000,n/a,n/a,n/a,PASS
